"appid","time0","grade","reviews"
"319014",1422576000,100,41
"319015",1422576000,100,15
"319016",1422576000,91,12
"319017",1421798400,100,9
"319018",1422576000,75,20
"319050",1417392000,90,255
"319140",1417651200,74,59
"319210",1416528000,43,16
"319240",1424044800,100,2
"319290",1416009600,33,3
"319450",1415059200,88,62
"319470",1432512000,100,3
"319740",1421366400,78,188
"319780",1429228800,30,36
"319810",1425427200,88,44
"319910",1429142400,86,357
"332070",1417651200,48,1687
"332130",1416441600,100,2
"332150",1416787200,33,3
"332200",1429315200,96,242
"332240",1416787200,66,6
"332250",1420761600,95,64
"332260",1424736000,100,1
"332291",1420848000,100,1
"332300",1415318400,100,1
"332340",1415923200,0,2
"332350",1428451200,86,243
"332360",1415923200,84,38
"332380",1428278400,80,10
"332390",1427932800,90,11
"332410",1429056000,100,12
"332460",1415664000,75,4
"332470",1415318400,0,2
"332480",1415664000,85,202
"332490",1416268800,84,97
"332500",1415664000,78,1494
"332540",1416182400,95,24
"332570",1416528000,94,146
"332580",1421107200,93,15
"260410",1414972800,76,1173
"260430",1424217600,75,138
"332610",1431993600,80,10
"332630",1421884800,85,14
"332710",1416528000,60,73
"332730",1422921600,75,33
"332750",1416182400,100,1
"332760",1424822400,91,12
"332780",1418601600,47,42
"332790",1422921600,52,57
"332800",1415664000,96,7403
"332810",1416787200,50,2
"332830",1418083200,97,41
"332880",1427932800,95,20
"332970",1429228800,79,109
"333030",1416528000,66,3
"333040",1416873600,100,2
"333050",1416614400,100,5
"333060",1416528000,100,3
"333080",1421280000,20,10
"333081",1421280000,60,6
"333083",1421280000,0,2
"333084",1421280000,50,5
"333087",1421280000,20,5
"333088",1421280000,14,7
"333090",1423180800,0,1
"333091",1420848000,100,2
"333110",1426204800,95,23
"333120",1416182400,43,31
"333130",1418947200,80,5
"333140",1418169600,100,2
"333150",1418860800,80,5
"333160",1418774400,100,8
"333170",1418774400,100,4
"333180",1421884800,75,4
"333181",1421884800,100,2
"333200",1418774400,50,6
"333210",1428624000,80,97
"333220",1416441600,74,79
"333230",1416960000,100,3
"333250",1421971200,88,263
"333260",1417478400,100,28
"333270",1416009600,50,2
"333310",1416182400,100,4
"333320",1415923200,66,3
"333330",1421107200,79,54
"333350",1422489600,60,39
"333380",1419206400,100,5
"333390",1420761600,94,18
"333400",1418169600,100,4
"333430",1417737600,59,32
"333460",1418342400,100,20
"333510",1424131200,93,29
"333530",1423526400,85,56
"333540",1416873600,66,21
"333560",1422230400,100,3
"333580",1428969600,90,11
"333600",1417651200,96,2820
"333650",1424044800,50,4
"333660",1419897600,63,58
"333670",1416182400,100,2
"333690",1431043200,92,14
"333700",1416873600,100,1
"333730",1422230400,50,14
"333740",1426550400,69,46
"261570",1425081600,96,5777
"333760",1419984000,89,47
"333790",1416873600,46,86
"333800",1425340800,35,20
"333820",1425600000,96,140
"333850",1416355200,33,3
"333860",1421625600,31,58
"333870",1416873600,81,44
"333880",1417564800,81,38
"333910",1418860800,66,3
"333921",1418860800,83,6
"333930",1420502400,77,1564
"333950",1422403200,87,2107
"333970",1424131200,90,42
"334030",1428451200,73,146
"334040",1421107200,70,172
"334050",1416355200,75,12
"334070",1421366400,72,134
"334080",1417132800,100,20
