"appid","query_date","grade","reviews","bundles"
"295087","2015-01-06",0,0,
"295088","2015-01-06",0,0,
"295089","2015-01-06",50,2,
"367260","2015-04-28",100,6,
"295090","2015-01-06",0,0,
"295091","2015-01-06",100,1,
"295092","2015-01-06",0,0,
"295093","2015-01-06",66,3,
"295094","2015-01-13",0,0,
"295095","2015-01-13",0,0,
"295096","2015-01-13",0,0,
"295097","2015-01-13",0,0,
"295098","2015-01-13",0,0,
"295099","2015-01-13",100,1,
"367280","2015-04-28",0,0,
"367290","2015-05-04",100,1,
"295110","2015-01-10",68,29898,
"367300","2015-05-22",100,11,
"295162","2015-01-28",50,8,
"295173","2015-02-13",0,0,
"295174","2015-02-13",0,0,
"295177","2015-01-21",0,0,
"295178","2015-01-21",0,0,
"295181","2015-02-05",0,1,
"295182","2015-02-05",100,2,
"295183","2015-02-17",0,0,
"295184","2015-02-17",0,0,
"295188","2015-02-24",0,0,
"295190","2014-11-10",100,3,
"295191","2015-04-22",0,0,
"367380","2015-05-04",0,0,
"367480","2015-04-29",0,0,
"295330","2014-11-04",93,15,
"367640","2015-05-12",100,2,
"367660","2015-05-05",0,0,
"367670","2015-05-04",94,430,
"295560","2014-12-04",0,0,
"295590","2015-03-19",70,99,
"367810","2015-04-30",0,0,
"367840","2015-05-26",0,0,
"367850","2015-05-07",0,0,
"223100","2015-03-13",0,0,
"368140","2015-05-25",0,0,
"368190","2015-05-06",0,0,
"296030","2014-12-31",0,0,
"368220","2015-05-12",61,18,
"368250","2015-05-05",100,1,
"368290","2015-05-18",100,6,
"368320","2015-05-20",66,3,
"368340","2015-05-15",100,36,
"368350","2015-05-12",0,0,
"368360","2015-05-06",89,37,
"368370","2015-05-25",0,0,
"368400","2015-05-12",0,0,
"368401","2015-05-12",0,0,
"368410","2015-05-07",0,0,
"368440","2015-05-14",0,0,
"296270","2015-03-25",100,4,
"296280","2015-01-30",65,47,
"368470","2015-05-22",100,9,
"296300","2015-05-08",0,0,
"368500","2015-05-12",0,0,
"368510","2015-05-09",0,0,
"368550","2015-05-06",0,0,
"368610","2015-05-22",0,0,
"368650","2015-05-08",96,109,
"296490","2015-04-30",97,282,
"368700","2015-05-15",100,5,
"368820","2015-05-08",0,0,
"368840","2015-05-13",0,0,
"368870","2015-05-07",91,182,
"368880","2015-05-15",0,0,
"296710","2015-01-23",97,237,
"368900","2015-05-11",58,12,
"368910","2015-05-13",0,0,
